City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,Coos Bay,US,2020-04-04 22:18:31,43.37,-124.22,50.0,100,90,5.82
243,Quatre Cocos,MU,2020-04-04 22:22:50,-20.21,57.76,78.8,78,75,8.05
244,Pemangkat,ID,2020-04-04 22:22:50,1.17,108.97,78.3,86,100,5.1
245,Belyy Yar,RU,2020-04-04 22:22:50,53.6,91.39,32.0,86,95,11.18
246,Tura,IN,2020-04-04 22:22:50,25.52,90.22,68.25,22,0,2.48
247,Owando,CG,2020-04-04 22:22:50,-0.48,15.9,74.98,77,64,3.24
248,Pangody,RU,2020-04-04 22:22:50,65.85,74.49,32.83,92,89,20.47
249,Pisco,PE,2020-04-04 22:22:50,-13.7,-76.22,72.0,30,20,9.17
250,Saint George,US,2020-04-04 22:22:50,37.1,-113.58,73.4,17,1,18.34
251,Stornoway,GB,2020-04-04 22:22:51,58.21,-6.39,46.4,81,100,17.22
252,Agarak,AM,2020-04-04 22:22:51,39.21,46.54,42.76,68,100,1.32
253,Huarmey,PE,2020-04-04 22:22:51,-10.07,-78.15,79.23,61,4,8.34
254,Jishou,CN,2020-04-04 22:22:52,28.32,109.72,51.78,76,100,2.55
255,Iqaluit,CA,2020-04-04 22:22:52,63.75,-68.51,0.0,70,5,28.86
256,Iroquois Falls,CA,2020-04-04 22:22:52,48.77,-80.68,48.2,49,90,9.17
257,Khatanga,RU,2020-04-04 22:22:52,71.97,102.5,16.59,97,91,10.92
258,Coralville,US,2020-04-04 22:22:52,41.68,-91.58,53.6,34,1,8.05
259,Huangmei,CN,2020-04-04 22:22:52,30.19,116.03,53.82,72,96,9.71
260,Flin Flon,CA,2020-04-04 22:22:52,54.77,-101.86,23.0,38,5,9.17
261,Telde,ES,2020-04-04 22:22:52,27.99,-15.42,68.0,82,20,4.7
262,Kulotino,RU,2020-04-04 22:22:52,58.45,33.38,32.79,85,70,5.73
263,Marawi,PH,2020-04-04 22:22:52,8.0,124.29,63.66,70,11,3.06
264,Padang,ID,2020-04-04 22:22:52,-0.95,100.35,78.01,81,100,2.28
265,Cherskiy,RU,2020-04-04 22:22:53,68.75,161.3,-8.64,90,97,5.14
266,Kuching,MY,2020-04-04 22:22:53,1.55,110.33,77.0,94,40,2.24
267,Guerrero Negro,MX,2020-04-04 22:22:53,27.98,-114.06,65.88,53,100,14.58
268,Goderich,CA,2020-04-04 22:22:53,43.75,-81.72,57.0,82,18,3.15
269,San Cristobal,VE,2020-04-04 22:22:53,7.77,-72.22,87.8,62,40,9.17
270,Kysyl-Syr,RU,2020-04-04 22:22:53,63.9,122.76,14.02,94,100,14.76
271,Bajil,YE,2020-04-04 22:22:53,15.06,43.29,84.72,59,2,1.12
272,Ambon,ID,2020-04-04 22:22:53,-3.7,128.18,77.0,94,20,5.82
273,Erenhot,CN,2020-04-04 22:22:53,43.65,111.98,42.04,31,0,6.98
274,Fairbanks,US,2020-04-04 22:22:53,64.84,-147.72,35.01,91,90,5.82
275,Abonnema,NG,2020-04-04 22:22:53,4.71,6.79,79.5,81,100,5.86
276,Sistranda,NO,2020-04-04 22:22:53,63.73,8.83,34.0,80,40,12.75
277,Edeleny,HU,2020-04-04 22:22:53,48.3,20.73,46.4,36,0,14.99
278,Abu Kamal,SY,2020-04-04 22:22:53,34.45,40.92,63.34,32,20,5.91
279,Narsaq,GL,2020-04-04 22:22:54,60.92,-46.05,28.4,36,100,39.15
280,Ambilobe,MG,2020-04-04 22:22:54,-13.2,49.05,74.44,88,21,3.11
281,Arlit,NE,2020-04-04 22:22:54,18.74,7.39,87.98,9,3,6.38
282,Olinda,BR,2020-04-04 22:22:54,-8.01,-34.86,84.2,79,40,4.7
283,Mae Ramat,TH,2020-04-04 22:22:54,16.98,98.52,68.23,45,100,1.25
284,Te Anau,NZ,2020-04-04 22:22:54,-45.42,167.72,56.82,67,91,3.49
285,Gamba,GA,2020-04-04 22:22:54,-2.65,10.0,77.41,85,100,3.58
286,Kahului,US,2020-04-04 22:20:50,20.89,-156.47,87.8,55,20,14.99
287,Taoudenni,ML,2020-04-04 22:19:44,22.68,-3.98,85.66,11,0,9.19
288,Waingapu,ID,2020-04-04 22:22:54,-9.66,120.26,78.55,78,2,2.73
289,Kamenka,RU,2020-04-04 22:22:55,51.32,42.77,46.0,47,83,4.0
290,Hay River,CA,2020-04-04 22:22:55,60.82,-115.8,5.0,65,20,5.82
291,Thompson,CA,2020-04-04 22:22:55,55.74,-97.86,21.2,79,90,11.41
292,Port-Gentil,GA,2020-04-04 22:22:55,-0.72,8.78,79.52,82,100,14.36
293,Deputatskiy,RU,2020-04-04 22:22:55,69.3,139.9,0.99,85,100,2.57
294,Sao Joao Da Barra,BR,2020-04-04 22:22:55,-21.64,-41.05,77.0,65,76,13.87
295,Inhambane,MZ,2020-04-04 22:22:55,-23.86,35.38,73.4,76,95,8.08
296,Shingu,JP,2020-04-04 22:22:55,33.73,135.98,49.1,73,0,6.82
297,Christchurch,NZ,2020-04-04 22:19:10,-43.53,172.63,60.8,77,17,18.34
298,Daytona Beach,US,2020-04-04 22:19:30,29.21,-81.02,86.0,60,75,8.05
299,Trincomalee,LK,2020-04-04 22:22:55,8.57,81.23,80.17,86,38,6.13
300,Inta,RU,2020-04-04 22:22:55,66.03,60.17,31.37,97,92,12.64
301,Hami,CN,2020-04-04 22:22:56,42.8,93.45,49.44,27,18,0.78
302,Sidi Ali,DZ,2020-04-04 22:22:56,36.1,0.42,58.14,63,99,11.03
303,Tecoanapa,MX,2020-04-04 22:22:56,16.52,-98.75,88.07,45,0,12.01
304,Emerald,AU,2020-04-04 22:22:55,-23.53,148.17,73.4,56,0,17.22
305,Bonthe,SL,2020-04-04 22:22:56,7.53,-12.51,82.29,81,10,9.44
